국가,국가 코드,차종,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
Slovakia Plant,KaSK,C'eed,"10,261",0,0,0,0,0,0,0,0,0,0,0,2025
Slovakia Plant,KaSK,C'eed CUV,"2,194",0,0,0,0,0,0,0,0,0,0,0,2025
Slovakia Plant,KaSK,Sportage,"15,245",0,0,0,0,0,0,0,0,0,0,0,2025
Mexico Plant,KMX,Rio(pride),0,0,0,0,0,0,0,0,0,0,0,0,2025
Mexico Plant,KMX,K3,"5,207",0,0,0,0,0,0,0,0,0,0,0,2025
Mexico Plant,KMX,K4,"15,456",0,0,0,0,0,0,0,0,0,0,0,2025
Mexico Plant,KMX,Tucson(NX4),"2,000",0,0,0,0,0,0,0,0,0,0,0,2025
India Plant,KIN,Syros,"5,546",0,0,0,0,0,0,0,0,0,0,0,2025
India Plant,KIN,Sonet,"8,259",0,0,0,0,0,0,0,0,0,0,0,2025
India Plant,KIN,Seltos,"6,584",0,0,0,0,0,0,0,0,0,0,0,2025
India Plant,KIN,Carens MPV,"5,797",0,0,0,0,0,0,0,0,0,0,0,2025
India Plant,KIN,Carnival,293,0,0,0,0,0,0,0,0,0,0,0,2025
