차량 구분,국가명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
총합,Middle East/Africa,"7,847","7,378","9,429","8,233","8,031","8,101","8,641","6,228","6,847","8,611","8,033","14,340",2024
승용차,Asia / Pacific,"2,231","1,998","2,237","3,249","2,887","2,459","1,951","2,029",485,944,"1,025",722,2024
휴양용 차량,Asia / Pacific,"7,217","7,298","5,763","6,850","6,142","7,721","7,551","7,131","5,364","5,734","6,158","9,655",2024
상업용 차량,Asia / Pacific,379,366,381,260,191,247,253,328,249,146,144,297,2024
특수 차량,Asia / Pacific,-,4,20,24,3,5,1,11,5,12,1,103,2024
CKD(특수 차량 제외),Asia / Pacific,"2,260","3,200","3,000","3,040","3,340","2,940","3,220","3,060","3,820","5,040","4,640","3,760",2024
CKD(특수 차량),Asia / Pacific,48,24,72,48,24,36,60,72,48,48,50,36,2024
총합,Asia / Pacific,"12,135","12,890","11,473","13,471","12,587","13,408","13,036","12,631",9971,11924,"12,018",14573,2024
승용차,India,0,-,0,-,0,0,0,-,0,0,0,0,2024
휴양용 차량,India,0,2,0,3,0,0,0,3,0,0,0,0,2024
상업용 차량,India,0,-,0,-,0,0,0,-,0,0,0,0,2024
특수 차량,India,0,-,0,-,0,0,0,-,0,0,0,0,2024
CKD(특수 차량 제외),India,-,-,-,-,-,-,-,-,0,0,0,0,2024
CKD(특수 차량),India,0,0,0,0,0,0,0,0,0,0,0,0,2024
총합,India,0,2,0,3,0,0,0,3,0,0,0,0,2024
승용차,China,0,0,0,0,-,0,0,-,0,0,0,0,2024
휴양용 차량,China,0,0,0,0,1,0,0,-,0,0,0,0,2024
상업용 차량,China,0,0,0,0,-,0,0,-,0,0,0,0,2024
특수 차량,China,0,0,0,0,-,0,0,-,0,0,0,0,2024
CKD(특수 차량 제외),China,0,0,0,0,0,0,0,0,0,0,0,0,2024
CKD(특수 차량),China,0,0,0,0,0,0,0,0,0,0,0,0,2024
총합,China,0,0,0,0,1,0,0,0,0,0,0,0,2024
승용차,US,4518.0,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,US,23997.0,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,US,0,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,US,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량 제외),US,0,0,0,0,0,0,0,0,0,0,0,0,2025
CKD(특수 차량),US,0,0,0,0,0,0,0,0,0,0,0,0,2025
승용차,Canada,0.0,0,0,0,0,0,0,0,0,0,0,0,2025
휴양용 차량,Canada,5180.0,0,0,0,0,0,0,0,0,0,0,0,2025
상업용 차량,Canada,0,0,0,0,0,0,0,0,0,0,0,0,2025
특수 차량,Canada,0,0,0,0,0,0,0,0,0,0,0,0,2025
