차종,차량 구분,거래 유형,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
 Ray,일반 차량,국내,3876,0,0,0,0,0,0,0,0,0,0,0,2025
 K3,일반 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2025
 EV4,일반 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2025
 K5,일반 차량,국내,2583,0,0,0,0,0,0,0,0,0,0,0,2025
 K7 / K8,일반 차량,국내,2297,0,0,0,0,0,0,0,0,0,0,0,2025
 K9,일반 차량,국내,123,0,0,0,0,0,0,0,0,0,0,0,2025
 EV3,일반 차량,국내,429,0,0,0,0,0,0,0,0,0,0,0,2025
 Seltos,일반 차량,국내,4342,0,0,0,0,0,0,0,0,0,0,0,2025
 Niro,일반 차량,국내,571,0,0,0,0,0,0,0,0,0,0,0,2025
 EV5,일반 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2025
 EV6,일반 차량,국내,72,0,0,0,0,0,0,0,0,0,0,0,2025
 Sportage,일반 차량,국내,6547,0,0,0,0,0,0,0,0,0,0,0,2025
 Sorento,일반 차량,국내,7454,0,0,0,0,0,0,0,0,0,0,0,2025
 EV9,일반 차량,국내,37,0,0,0,0,0,0,0,0,0,0,0,2025
 Carnival,일반 차량,국내,6068,0,0,0,0,0,0,0,0,0,0,0,2025
 Bongo,일반 차량,국내,2419,0,0,0,0,0,0,0,0,0,0,0,2025
 Bus,일반 차량,국내,101,0,0,0,0,0,0,0,0,0,0,0,2025
 Tasman,일반 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2025
 PV5,일반 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2025
 Tasman,특수 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2025
 Military,특수 차량,국내,9,0,0,0,0,0,0,0,0,0,0,0,2025
 Bongo,특수 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2025
 Bus,특수 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2025
 Morning / Picanto,일반 차량,수출,7802,0,0,0,0,0,0,0,0,0,0,0,2025
 Pride / Rio,일반 차량,수출,0,0,0,0,0,0,0,0,0,0,0,0,2025
 K3,일반 차량,수출,0,0,0,0,0,0,0,0,0,0,0,0,2025
 EV4,일반 차량,수출,6,0,0,0,0,0,0,0,0,0,0,0,2025
 K5 / Optima,일반 차량,수출,5522,0,0,0,0,0,0,0,0,0,0,0,2025
 K7 / K8 / Cadenza,일반 차량,수출,85,0,0,0,0,0,0,0,0,0,0,0,2025
 K9,일반 차량,수출,0,0,0,0,0,0,0,0,0,0,0,0,2025
 Stonic,일반 차량,수출,4482,0,0,0,0,0,0,0,0,0,0,0,2025
 EV3,일반 차량,수출,7646,0,0,0,0,0,0,0,0,0,0,0,2025
 Seltos,일반 차량,수출,8336,0,0,0,0,0,0,0,0,0,0,0,2025
 Soul,일반 차량,수출,5377,0,0,0,0,0,0,0,0,0,0,0,2025
 Niro,일반 차량,수출,9293,0,0,0,0,0,0,0,0,0,0,0,2025
 EV5,일반 차량,수출,0,0,0,0,0,0,0,0,0,0,0,0,2025
 EV6,일반 차량,수출,1357,0,0,0,0,0,0,0,0,0,0,0,2025
 Sportage,일반 차량,수출,10293,0,0,0,0,0,0,0,0,0,0,0,2025
 Sorento,일반 차량,수출,6334,0,0,0,0,0,0,0,0,0,0,0,2025
 Mohave / Borrego,일반 차량,수출,0,0,0,0,0,0,0,0,0,0,0,0,2025
 EV9,일반 차량,수출,1117,0,0,0,0,0,0,0,0,0,0,0,2025
 Carnival / Sedona,일반 차량,수출,6600,0,0,0,0,0,0,0,0,0,0,0,2025
 Tasman,일반 차량,수출,2,0,0,0,0,0,0,0,0,0,0,0,2025
 Bongo,일반 차량,수출,2758,0,0,0,0,0,0,0,0,0,0,0,2025
 Bus,일반 차량,수출,0,0,0,0,0,0,0,0,0,0,0,0,2025
 PV5,일반 차량,수출,0,0,0,0,0,0,0,0,0,0,0,0,2025
 Tasman,특수 차량,수출,0,0,0,0,0,0,0,0,0,0,0,0,2025
 Military,특수 차량,수출,0,0,0,0,0,0,0,0,0,0,0,0,2025
 Bongo,특수 차량,수출,17,0,0,0,0,0,0,0,0,0,0,0,2025
 Bus,특수 차량,수출,0,0,0,0,0,0,0,0,0,0,0,0,2025
